112,FISHER,214703,82.58%,11.79%,0.55%,0.76%,1.89%,2.43%,0.120%,1204,,,
113,VASQUEZ,212781,5.06%,0.51%,0.73%,0.29%,0.24%,93.17%,0.119%,1193,,,
114,SIMMONS,210182,57.91%,36.15%,0.47%,0.67%,2.52%,2.29%,0.118%,1179,,,
115,ROMERO,208614,8.65%,0.50%,1.30%,0.69%,0.37%,88.50%,0.117%,1170,,,
116,JORDAN,208403,61.44%,30.73%,0.55%,0.72%,2.45%,4.11%,0.117%,1169,,,
117,PATTERSON,205423,67.27%,26.80%,0.47%,0.68%,2.35%,2.43%,0.115%,1152,,,
118,ALEXANDER,204621,58.19%,34.04%,1.24%,0.70%,2.66%,3.17%,0.115%,1148,,,
119,HAMILTON,201746,70.21%,23.71%,0.54%,0.80%,2.29%,2.45%,0.113%,1131,,,
120,GRAHAM,201159,70.02%,23.99%,0.51%,0.80%,2.13%,2.55%,0.113%,1128,,,
121,REYNOLDS,200247,81.08%,13.21%,0.52%,0.71%,2.02%,2.45%,0.112%,1123,,,
122,GRIFFIN,198406,63.77%,30.81%,0.44%,0.47%,2.28%,2.21%,0.111%,1113,,,
123,WALLACE,197276,69.24%,24.70%,0.51%,0.77%,2.31%,2.47%,0.111%,1106,,,
124,MORENO,196925,6.09%,0.43%,0.67%,0.37%,0.22%,92.23%,0.110%,1104,,,
125,WEST,195818,75.48%,18.48%,0.49%,0.83%,2.27%,2.45%,0.110%,1098,,,
126,COLE,195289,75.33%,18.89%,0.55%,0.72%,2.10%,2.41%,0.110%,1095,,,
127,HAYES,194246,69.38%,24.69%,0.49%,0.81%,2.34%,2.29%,0.109%,1089,,,
128,BRYANT,192773,58.46%,35.58%,0.39%,0.89%,2.47%,2.21%,0.108%,1081,,,
129,HERRERA,192711,4.92%,0.36%,0.96%,0.51%,0.22%,93.03%,0.108%,1081,,,
130,GIBSON,190667,72.14%,21.78%,0.46%,0.97%,2.34%,2.31%,0.107%,1069,,,
131,ELLIS,188968,70.36%,23.47%,0.54%,0.66%,2.24%,2.73%,0.106%,1060,,,
132,TRAN,188498,1.35%,0.10%,96.00%,0.03%,1.70%,0.81%,0.106%,1057,,,
133,MEDINA,188497,5.69%,0.60%,1.92%,0.30%,0.33%,91.16%,0.106%,1057,,,
134,AGUILAR,186512,4.03%,0.26%,1.64%,0.52%,0.23%,93.32%,0.105%,1046,,,
135,STEVENS,185674,81.44%,11.82%,0.64%,1.33%,2.04%,2.74%,0.104%,1041,,,
136,MURRAY,184910,74.92%,19.29%,0.57%,0.60%,2.02%,2.60%,0.104%,1037,,,
137,FORD,184832,62.05%,32.00%,0.45%,0.61%,2.52%,2.37%,0.104%,1037,,,
138,CASTRO,184134,7.29%,0.66%,3.74%,0.24%,0.64%,87.42%,0.103%,1033,,,
139,MARSHALL,183922,66.03%,27.51%,0.58%,0.96%,2.34%,2.58%,0.103%,1031,,,
140,OWENS,182719,65.85%,28.41%,0.36%,0.75%,2.47%,2.17%,0.102%,1025,,,
141,HARRISON,181091,68.66%,24.45%,0.52%,1.39%,2.27%,2.70%,0.102%,1016,,,
142,FERNANDEZ,180842,8.77%,1.15%,5.38%,0.18%,0.93%,83.58%,0.101%,1014,,,
143,MCDONALD,180497,76.65%,17.28%,0.55%,0.78%,2.01%,2.73%,0.101%,1012,,,
144,WOODS,177425,58.30%,35.30%,0.42%,0.88%,2.74%,2.35%,0.100%,995,,,
145,WASHINGTON,177386,5.17%,87.53%,0.30%,0.68%,3.78%,2.54%,0.099%,995,,,
146,KENNEDY,176865,80.82%,13.63%,0.62%,0.61%,1.87%,2.45%,0.099%,992,,,
147,WELLS,176230,74.00%,20.00%,0.49%,0.87%,2.22%,2.41%,0.099%,988,,,
148,VARGAS,173835,5.41%,0.42%,0.85%,0.18%,0.22%,92.92%,0.097%,975,,,
149,HENRY,170964,61.43%,30.68%,0.84%,1.87%,2.34%,2.84%,0.096%,959,,,
150,CHEN,169580,1.40%,0.30%,96.12%,0.02%,1.64%,0.52%,0.095%,951,,,
151,FREEMAN,169149,65.50%,28.34%,0.52%,0.95%,2.38%,2.30%,0.095%,949,,,
152,WEBB,168878,75.53%,19.08%,0.46%,0.66%,1.99%,2.29%,0.095%,947,,,
153,TUCKER,167446,70.01%,24.17%,0.45%,0.78%,2.25%,2.35%,0.094%,939,,,
154,GUZMAN,167044,4.11%,0.42%,1.29%,0.15%,0.27%,93.77%,0.094%,937,,,
155,BURNS,165925,80.26%,14.06%,0.59%,0.78%,1.83%,2.48%,0.093%,931,,,
156,CRAWFORD,164457,68.56%,25.65%,0.49%,0.75%,2.30%,2.24%,0.092%,922,,,
157,OLSON,164035,94.76%,0.40%,0.66%,0.72%,1.43%,2.03%,0.092%,920,,,
158,SIMPSON,163181,70.78%,23.09%,0.53%,0.78%,2.30%,2.53%,0.092%,915,,,
159,PORTER,163054,68.57%,25.40%,0.55%,0.72%,2.31%,2.45%,0.091%,914,,,
160,HUNTER,162440,60.78%,32.69%,0.48%,1.02%,2.63%,2.41%,0.091%,911,,,
161,GORDON,161833,64.25%,29.15%,0.62%,0.68%,2.26%,3.04%,0.091%,908,,,
162,MENDEZ,161717,4.48%,0.78%,0.48%,0.24%,0.18%,93.83%,0.091%,907,,,
